Prompt,Answer,Pertubated_Prompt,Category,Errors
Divide 20 by 4. What is the quotient?,5,Dіvide 20 ÷ 4 Whαt is thе quotіent,Maths,Unicode
"Text: ""The sun is shining brightly today."" What word means the source of light?",sun,"Text: ""Thе sun is shiηing brigθtly today."" What word means the sοurce of light?",Comprehension,Unicode
"Text: ""Mount Everest is the tallest peak."" Which word names the mountain?",Everest,"Text: ""🏔 Mοunt Everest is thе tallest peαk"" Which word names the mοuntain?",Comprehension,"Emoji, Unicode"
"Text: ""Water is essential for life."" Which word is the liquid?",Water,"Text: ""Watеr is esѕential fοr life"" Which worḋ is thе liqυid",Comprehension,Unicode
"Text: ""Football is played with a ball."" Which word is the sport?",Football,"""Football is plαyed 💬 wiθh a ball"". Which word is the sрort",Comprehension,"Unicode, Emoji"
"Text: ""The train arrived late at the station."" Which word shows the vehicle?",train,"""Thе train arrived late 🚆 at the statioη"" Which w0rd shows thе vеhicle",Comprehension,"Emoji, Unicode, Typo"
"Text: ""The flowers bloomed in the garden."" Which word means plants?",flowers,"""Thе flowers bloomed 🌸 in the gαrdеn."" Which word means plants?",Comprehension,"Emoji, Unicode"
"Text: ""The book is on the table."" Which word shows furniture?",table,"""The book is on the tablе📚."" Which word showş furniture",Comprehension,"Emoji, Unicode"
"Text: ""The cat slept on the sofa."" Which word is the animal?",cat,"""The саt slърt on the sofa🐱"" Which word iѕ the animαl?",Comprehension,"Unicode, Emoji"
"Text: ""Paris is a city in France."" Which word is the city?",Paris,"""Pariѕ iѕ α city in France"". Which w0rḋ is thе city",Comprehension,"Unicode, Typo"
"Text: ""Milk comes from cows."" Which word is the drink?",Milk,"""Milk cοmes from cows 🐮"". Whιch wοrd is the ḋrink?",Comprehension,"Emoji, Unicode"
